#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
1,Ronald Acuna Jr.,ATL,150,695,38,135,100,56,11.40%,15.50%,0.259,0.333,0.318,0.405,0.577,0.414,162,5.6,58.6,-8.1,7.4
2,Juan Soto,SDP,150,666,35,107,103,11,19.50%,16.20%,0.257,0.295,0.283,0.426,0.54,0.41,165,-2.4,51.2,-9.6,6.4
3,Aaron Judge,NYY,150,679,46,114,107,8,15.40%,26.60%,0.292,0.31,0.27,0.386,0.562,0.396,157,-0.9,45.6,-6.3,6.2
4,Mookie Betts,LAD,150,695,33,113,88,15,11.80%,15.90%,0.233,0.292,0.279,0.372,0.512,0.378,141,1,36.1,-1,5.9
5,Yordan Alvarez,HOU,143,627,39,102,113,1,12.90%,19.80%,0.291,0.32,0.298,0.398,0.59,0.413,168,-1.7,49.6,-13.9,5.7
6,Fernando Tatis Jr.,SDP,150,680,37,109,102,27,9.50%,21.50%,0.245,0.307,0.277,0.349,0.522,0.37,138,2.2,34.4,-1.3,5.6
7,Julio Rodr�guez,SEA,150,677,33,101,94,31,7.60%,22.80%,0.23,0.325,0.282,0.345,0.511,0.362,136,2,31.4,1.2,5.5
8,Adley Rutschman,BAL,138,621,19,87,70,3,13.20%,15.70%,0.175,0.298,0.271,0.372,0.446,0.355,129,-0.5,21.4,4.9,5.5
9,Jos� Ram�rez,CLE,150,664,27,93,97,23,11.00%,12.40%,0.218,0.286,0.282,0.364,0.5,0.361,133,2,28.4,0.7,5.1
10,Wander Franco,TBR,130,585,19,86,74,24,8.60%,12.60%,0.194,0.301,0.287,0.351,0.481,0.355,132,0.5,22.9,8.6,5.1
11,Corey Seager,TEX,138,623,31,97,91,3,9.70%,16.20%,0.235,0.308,0.292,0.367,0.528,0.377,140,-1.5,28.2,1,5
12,Gunnar Henderson,BAL,138,620,26,89,75,11,10.20%,23.80%,0.215,0.308,0.26,0.34,0.474,0.349,125,0.6,19.5,8.9,4.9
13,Kyle Tucker,HOU,150,635,32,96,102,25,11.00%,15.00%,0.244,0.292,0.285,0.365,0.529,0.377,143,2,34.8,-8.2,4.8
14,Bobby Witt Jr.,KCR,150,677,30,101,93,42,6.30%,17.30%,0.223,0.297,0.278,0.328,0.5,0.351,120,2.9,19.2,5.2,4.7
15,Rafael Devers,BOS,150,672,35,103,103,5,9.50%,19.20%,0.247,0.307,0.284,0.359,0.531,0.374,134,-0.9,26.3,-2.4,4.7
