#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
1,Spencer Strider,ATL,15,7,0,31,31,185,12.52,3.02,1.03,0.29,76.10%,37.10%,3.18,3.09,4.9
2,Zack Wheeler,PHI,13,10,0,32,32,197,9.15,2.16,1.09,0.291,73.70%,43.80%,3.53,3.66,4.8
3,Kevin Gausman,TOR,13,9,0,32,32,193,10.36,2.41,1.14,0.29,74.70%,40.80%,3.49,3.49,4.4
4,Aaron Nola,,13,10,0,32,32,198,9.4,1.97,1.2,0.296,73.20%,42.50%,3.71,3.66,4.2
5,Framber Valdez,HOU,14,8,0,31,31,195,9.1,2.92,0.77,0.311,73.50%,57.00%,3.39,3.47,4.1
6,Logan Webb,SFG,12,11,0,32,32,201,8.12,1.97,0.79,0.313,71.70%,56.20%,3.54,3.37,4.1
7,Pablo López,MIN,13,10,0,32,32,193,10.01,2.48,1.04,0.298,73.80%,44.00%,3.52,3.5,4.1
8,Tyler Glasnow,TBR,12,8,0,29,29,173,11.38,2.84,0.95,0.294,74.70%,45.30%,3.24,3.13,4.1
9,Tarik Skubal,DET,11,9,0,29,29,171,10.41,2.44,1.03,0.297,75.10%,43.10%,3.33,3.35,4
10,Corbin Burnes,MIL,12,11,0,32,32,197,10.01,2.84,1.12,0.295,73.60%,44.70%,3.7,3.74,3.8
11,Zac Gallen,ARI,12,11,0,32,32,196,9.31,2.47,1.1,0.301,72.60%,42.70%,3.8,3.72,3.6
12,Gerrit Cole,NYY,13,10,0,32,32,200,10.17,2.38,1.31,0.287,74.50%,39.90%,3.72,3.78,3.6
13,Max Fried,ATL,14,8,0,31,31,185,8.62,2.27,0.98,0.307,73.80%,49.80%,3.56,3.62,3.5
14,George Kirby,SEA,12,11,0,32,32,191,8.62,1.56,1.18,0.291,73.00%,43.00%,3.62,3.69,3.5
15,Freddy Peralta,MIL,11,10,0,31,31,175,10.79,3.12,1.21,0.285,74.70%,38.10%,3.67,3.78,3.5
